1,102.09
2,97.93
3,94.68
4,92.81
5,92.27
6,91.44
7,90.16
8,89.32
9,88.77
10,88.37
11,87.89
12,87.07
13,86.66
14,85.94
15,85.19
16,84.82
17,84.40
18,84.14
19,83.74
20,83.40
21,83.02
22,82.33
23,81.95
24,81.63
25,81.32
26,80.66
27,80.24
28,80.06
29,79.84
30,79.52
31,79.08
32,78.77
33,78.39
34,78.09
35,77.74
36,77.44
37,77.02
38,76.78
39,76.25
40,76.05
41,75.92
42,75.57
43,75.18
44,75.05
45,74.67
46,74.47
47,74.20
48,74.03
49,73.87
50,73.73
51,73.56
52,73.23
53,72.87
54,72.67
55,72.27
56,71.97
57,71.67
58,71.47
59,71.21
60,70.53
61,70.37
62,70.19
63,70.07
64,69.45
65,68.99
66,68.75
67,68.56
68,68.40
69,68.17
70,67.99
71,67.81
72,67.52
73,67.31
74,67.15
75,66.60
76,66.37
77,66.20
78,65.90
79,65.67
80,65.31
81,65.16
82,64.92
83,64.63
84,64.27
85,63.62
86,63.19
87,63.04
88,62.61
89,62.40
90,62.20
91,61.82
92,61.58
93,60.82
94,60.70
95,60.20
96,59.86
97,59.56
98,59.24
99,59.03
100,56.44
101,58.27
102,57.93
103,57.33
104,56.98
105,56.43
106,56.19
107,56.00
108,55.39
109,55.07
110,54.40
111,54.20
112,53.89
113,53.47
114,52.98
115,52.50
116,51.69
117,51.15
118,50.87
119,49.90
120,48.73
121,48.40
122,47.75
123,47.34
124,46.86
125,46.23
126,45.70
127,45.12
128,43.33
129,41.99
130,37.29
HM,2.80
